t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.05800000000000001,5.5372373353179685e-18,0.1,0.12,0.10083335854052591,0.04836885122381478,0.09996543420966178,0.20169671708105183,7.944072531411207e-18,6.545599505342591e-18,9.71445146547012e-17,-2.7581414157866012e-17,-1.6457712385880244e-17,0.014895787489681893,-0.028594464052716657,-0.0011895201980571127,0.02979157497936373,1.393705712530243e-16,1.1410071790003064e-16,6.959770111167981e-5,5.011940578614336e-16,5.6527471246358886e-15
0.066,6.314393452555578e-18,0.1,0.12,0.10095282733343905,0.04814012805664843,0.09995526361365034,0.2019356546668781,9.059115127245891e-18,7.465422954575035e-18,9.71445146547012e-17,-2.7581414157866012e-17,-1.9489361391790005e-17,0.014971303127146611,-0.028586210502115534,-0.0013531207905964839,0.029942606254293146,1.395447327107872e-16,1.1497793115405546e-16,6.959770111180749e-5,6.549602747577949e-16,3.907020130516458e-15
0.07400000000000001,7.091549569793188e-18,0.1,0.12,0.10107289767131987,0.04791147373101156,0.09994378440526201,0.20217579534263974,1.0172513086736634e-17,8.392736881614478e-18,9.71445146547012e-17,-2.7581414157866012e-17,-1.9489361391790005e-17,0.01504617404956103,-0.028577253738189503,-0.0015166732896534606,0.030092348099121986,1.3879024851636823e-16,1.2563413308747438e-16,6.959770111192763e-5,8.154954212356733e-16,6.063366796534628e-15
0.08200000000000002,7.868705687030798e-18,0.1,0.12,0.10119356440408186,0.04768289387105727,0.09993099696930091,0.20241712880816373,1.1284565955125127e-17,9.339924952137107e-18,9.71445146547012e-17,-2.7581414157866012e-17,-2.6055718120233443e-17,0.01512040216572766,-0.028567594139970447,-0.0016801776819760205,0.030240804331455227,1.3924761134782524e-16,1.0845700483834678e-16,6.959770111201657e-5,9.841479374575759e-16,8.47124657356082e-15
0.09000000000000002,8.645861804268408e-18,0.1,0.12,0.10131482239691539,0.047454394098130626,0.09991690169065895,0.20265964479383078,1.2398811394957496e-17,1.0200563284811684e-17,9.71445146547012e-17,-2.7581414157866012e-17,-2.4301291612183813e-17,0.015193989385875729,-0.02855723203043956,-0.0018436339587128373,0.030387978771751364,1.3960118600059553e-16,1.0606396708136709e-16,6.9597701112129e-5,1.15284870160737e-15,5.113372333481479e-15
0.10000000000000002,9.61730695081542e-18,0.1,0.12,0.1014672185496107,0.047168890564339705,0.09989744402503445,0.2029644370992214,1.38015285980524e-17,1.1334011655709414e-17,9.71445146547012e-17,-2.7581414157866012e-17,-2.8090852869571016e-17,0.015285075061662077,-0.028543291888304477,-0.00204788663413676,0.030570150123324095,1.4116336141308792e-16,1.2660830149062825e-16,6.959770111246604e-5,1.691183173331277e-15,6.834109577904332e-15
0.11000000000000001,1.0588752097362432e-17,0.1,0.12,0.10162052058253271,0.04688353191655875,0.0998759442086235,0.20327104116506542,1.5223859741249015e-17,1.2643562895808557e-17,9.71445146547012e-17,-2.7581414157866012e-17,-2.5640196052537482e-17,0.01537516605255968,-0.028528254883413474,-0.0022520641154966724,0.03075033210511931,1.42020505528357e-16,1.3669486883835463e-16,6.959770111280359e-5,2.2399568613554153e-15,3.775936596653729e-15
0.12000000000000001,1.1560197243909445e-17,0.1,0.12,0.10177471856746342,0.046598329121994235,0.09985240299337785,0.20357943713492685,1.6647844893120653e-17,1.3968174502405746e-17,9.71445146547012e-17,-2.7581414157866012e-17,-2.902828508214278e-18,0.015464266083703954,-0.028512121277196104,-0.002456166400886652,0.03092853216740779,1.4266150602917632e-16,1.3881587814834938e-16,6.959770111314504e-5,2.807570182736688e-15,5.81781620887402e-15
0.13,1.2531642390456458e-17,0.1,0.12,0.1019298026133998,0.04631329314592179,0.09982682113126352,0.2038896052267996,1.8067448739912525e-17,1.5330501662014138e-17,9.71445146547012e-17,-2.7581414157866012e-17,-7.097953731522405e-19,0.015552378872444391,-0.028494891194410024,-0.002660193488879907,0.03110475774488869,1.4130039712833016e-16,1.3534072858885212e-16,6.959770111348414e-5,3.3519547141121508e-15,6.245986235805099e-15
0.14,1.350308753700347e-17,0.1,0.12,0.10208576286646096,0.04602843495305227,0.0997991993742703,0.2042015257329219,1.9484713255174668e-17,1.666904249170287e-17,9.71445146547012e-17,-2.7581414157866012e-17,9.691183672464092e-18,0.015639508125374093,-0.02847656462327776,-0.0028641453756944224,0.0312790162507481,1.4126660710463072e-16,1.3106731496819228e-16,6.959770111383058e-5,3.9099727884347945e-15,6.014583860344956e-15
