
".MODEL_1.Last_Run.PART_5_XFORM.TIME"	".MODEL_1.Last_Run.PART_5_XFORM.X"	".MODEL_1.Last_Run.PART_5_XFORM.Y"	".MODEL_1.Last_Run.PART_5_XFORM.Z"	".MODEL_1.Last_Run.PART_5_XFORM.PSI"	".MODEL_1.Last_Run.PART_5_XFORM.THETA"	".MODEL_1.Last_Run.PART_5_XFORM.PHI"	".MODEL_1.Last_Run.PART_5_XFORM.VX"	".MODEL_1.Last_Run.PART_5_XFORM.VY"	".MODEL_1.Last_Run.PART_5_XFORM.VZ"	".MODEL_1.Last_Run.PART_5_XFORM.WX"	".MODEL_1.Last_Run.PART_5_XFORM.WY"	".MODEL_1.Last_Run.PART_5_XFORM.WZ"	".MODEL_1.Last_Run.PART_5_XFORM.ACCX"	".MODEL_1.Last_Run.PART_5_XFORM.ACCY"	".MODEL_1.Last_Run.PART_5_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_5_XFORM.WDX"	".MODEL_1.Last_Run.PART_5_XFORM.WDY"	".MODEL_1.Last_Run.PART_5_XFORM.WDZ"
1.350000e+00	6.375490e-02	-4.001043e-02	-4.623397e-02	-5.571930e+01	1.441442e+01	6.822388e+01	5.693038e-02	-1.834927e-02	-4.776335e-02	2.218287e+00	-1.394076e+01	6.080744e+00	4.328259e-03	2.475250e-02	-1.033319e-02	-5.403090e+00	-5.170764e+00	-7.809767e+00
1.400000e+00	6.660332e-02	-4.087361e-02	-4.865401e-02	-5.663583e+01	1.505679e+01	6.946525e+01	5.706163e-02	-1.706779e-02	-4.820801e-02	1.942923e+00	-1.418234e+01	5.673834e+00	2.581473e-03	2.550793e-02	-8.777834e-03	-5.456402e+00	-4.858600e+00	-8.236433e+00
1.450000e+00	6.945385e-02	-4.167052e-02	-5.109254e-02	-5.754789e+01	1.570601e+01	7.068367e+01	5.710147e-02	-1.574915e-02	-4.857246e-02	1.665377e+00	-1.440727e+01	5.245503e+00	7.413488e-04	2.623241e-02	-7.180295e-03	-5.501098e+00	-4.523182e+00	-8.665172e+00
1.500000e+00	7.230174e-02	-4.239933e-02	-5.354542e-02	-5.845617e+01	1.636164e+01	7.187879e+01	5.704514e-02	-1.439497e-02	-4.885460e-02	1.386132e+00	-1.461431e+01	4.795700e+00	-1.194369e-03	2.692422e-02	-5.542528e-03	-5.536142e+00	-4.163305e+00	-9.094505e+00
1.550000e+00	7.514194e-02	-4.305830e-02	-5.600842e-02	-5.936137e+01	1.702322e+01	7.305027e+01	5.688779e-02	-1.300699e-02	-4.905250e-02	1.105728e+00	-1.480221e+01	4.324454e+00	-3.227184e-03	2.758167e-02	-3.867000e-03	-5.560462e+00	-3.777872e+00	-9.522753e+00
1.600000e+00	7.796921e-02	-4.364578e-02	-5.847721e-02	-6.026416e+01	1.769020e+01	7.419773e+01	5.662450e-02	-1.158702e-02	-4.916434e-02	8.247576e-01	-1.496963e+01	3.831888e+00	-5.357750e-03	2.820319e-02	-2.156690e-03	-5.572959e+00	-3.365921e+00	-9.948037e+00
1.650000e+00	8.077802e-02	-4.416023e-02	-6.094738e-02	-6.116520e+01	1.836198e+01	7.532075e+01	5.625041e-02	-1.013696e-02	-4.918851e-02	5.438708e-01	-1.511522e+01	3.318226e+00	-7.585776e-03	2.878730e-02	-4.150882e-04	-5.572513e+00	-2.926644e+00	-1.036828e+01
1.700000e+00	8.356262e-02	-4.460020e-02	-6.341444e-02	-6.206515e+01	1.903787e+01	7.641892e+01	5.576068e-02	-8.658767e-03	-4.912357e-02	2.637736e-01	-1.523758e+01	2.783809e+00	-9.909926e-03	2.933271e-02	1.353820e-03	-5.557998e+00	-2.459414e+00	-1.078119e+01
1.750000e+00	8.631702e-02	-4.496434e-02	-6.587384e-02	-6.296464e+01	1.971714e+01	7.749180e+01	5.515060e-02	-7.154499e-03	-4.896833e-02	-1.477196e-02	-1.533530e+01	2.229096e+00	-1.232773e-02	2.983830e-02	3.145583e-03	-5.528289e+00	-1.963810e+00	-1.118433e+01
1.800000e+00	8.903501e-02	-4.525141e-02	-6.832097e-02	-6.386428e+01	2.039896e+01	7.853897e+01	5.441566e-02	-5.626251e-03	-4.872183e-02	-2.909488e-01	-1.540694e+01	1.654682e+00	-1.483550e-02	3.030319e-02	4.955318e-03	-5.482277e+00	-1.439641e+00	-1.157505e+01
1.850000e+00	9.171016e-02	-4.546028e-02	-7.075120e-02	-6.476467e+01	2.108245e+01	7.955996e+01	5.355156e-02	-4.076171e-03	-4.838339e-02	-5.638867e-01	-1.545108e+01	1.061301e+00	-1.742822e-02	3.072672e-02	6.777759e-03	-5.418885e+00	-8.869706e-01	-1.195055e+01
1.900000e+00	9.433582e-02	-4.558995e-02	-7.315988e-02	-6.566638e+01	2.176664e+01	8.055434e+01	5.255433e-02	-2.506439e-03	-4.795262e-02	-8.326648e-01	-1.546630e+01	4.498326e-01	-2.009953e-02	3.110849e-02	8.607309e-03	-5.337078e+00	-3.061403e-01	-1.230789e+01
1.950000e+00	9.690518e-02	-4.563952e-02	-7.554233e-02	-6.656996e+01	2.245049e+01	8.152166e+01	5.142038e-02	-9.192593e-04	-4.742942e-02	-1.096315e+00	-1.545123e+01	-1.786866e-01	-2.284160e-02	3.144837e-02	1.043811e-02	-5.235885e+00	3.022070e-01	-1.264400e+01
2.000000e+00	9.941127e-02	-4.560820e-02	-7.789390e-02	-6.747594e+01	2.313289e+01	8.246148e+01	5.014658e-02	6.831563e-04	-4.681401e-02	-1.353826e+00	-1.540454e+01	-8.230617e-01	-2.564517e-02	3.174648e-02	1.226413e-02	-5.114412e+00	9.371075e-01	-1.295574e+01
