
".MODEL_1.Last_Run.PART_sl_XFORM.TIME"	".MODEL_1.Last_Run.PART_sl_XFORM.X"	".MODEL_1.Last_Run.PART_sl_XFORM.Y"	".MODEL_1.Last_Run.PART_sl_XFORM.Z"	".MODEL_1.Last_Run.PART_sl_XFORM.PSI"	".MODEL_1.Last_Run.PART_sl_XFORM.THETA"	".MODEL_1.Last_Run.PART_sl_XFORM.PHI"	".MODEL_1.Last_Run.PART_sl_XFORM.VX"	".MODEL_1.Last_Run.PART_sl_XFORM.VY"	".MODEL_1.Last_Run.PART_sl_XFORM.VZ"	".MODEL_1.Last_Run.PART_sl_XFORM.WX"	".MODEL_1.Last_Run.PART_sl_XFORM.WY"	".MODEL_1.Last_Run.PART_sl_XFORM.WZ"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCX"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCY"	".MODEL_1.Last_Run.PART_sl_XFORM.ACCZ"	".MODEL_1.Last_Run.PART_sl_XFORM.WDX"	".MODEL_1.Last_Run.PART_sl_XFORM.WDY"	".MODEL_1.Last_Run.PART_sl_XFORM.WDZ"
2.650000e+00	8.981357e-02	7.148741e-18	-7.148741e-18	-7.016709e-15	0.000000e+00	0.000000e+00	6.632520e-03	-5.859672e-18	5.859672e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.301241e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	9.003570e-02	7.052557e-18	-7.052557e-18	-7.016709e-15	0.000000e+00	0.000000e+00	4.442622e-03	-5.933937e-18	5.933937e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.379796e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.750000e+00	9.014663e-02	6.956374e-18	-6.956374e-18	-7.016709e-15	0.000000e+00	0.000000e+00	2.218642e-03	-6.008201e-18	6.008201e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.447961e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	9.014494e-02	6.860190e-18	-6.860190e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-3.391250e-05	-6.082465e-18	6.082465e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.505109e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.850000e+00	9.002948e-02	6.764007e-18	-6.764007e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-2.309245e-03	-6.156729e-18	6.156729e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.550664e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+00	8.979941e-02	6.667823e-18	-6.667823e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-4.601299e-03	-6.230993e-18	6.230993e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.584109e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
2.950000e+00	8.945422e-02	6.571639e-18	-6.571639e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-6.903794e-03	-6.305258e-18	6.305258e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.604989e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	8.899371e-02	6.475456e-18	-6.475456e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-9.210253e-03	-6.379522e-18	6.379522e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.612918e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.050000e+00	8.841801e-02	6.379272e-18	-6.379272e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-1.151405e-02	-6.453786e-18	6.453786e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.607586e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.100000e+00	8.772758e-02	6.283089e-18	-6.283089e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-1.380843e-02	-6.528050e-18	6.528050e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.588765e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.150000e+00	8.692326e-02	6.186905e-18	-6.186905e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-1.608658e-02	-6.602314e-18	6.602314e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.556306e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	8.600617e-02	6.090722e-18	-6.090722e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-1.834165e-02	-6.676579e-18	6.676579e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.510147e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
3.250000e+00	8.497783e-02	5.994538e-18	-5.994538e-18	-7.016709e-15	0.000000e+00	0.000000e+00	-2.056681e-02	-6.750843e-18	6.750843e-18	0.000000e+00	0.000000e+00	0.000000e+00	-4.450309e-02	-1.485284e-18	1.485284e-18	0.000000e+00	0.000000e+00	0.000000e+00
