X,Y,Z
2236.696677,-672.3290734,1390.994458
2234.458907,-672.3290688,1391.001278
2232.221153,-672.3290656,1391.008682
2229.983402,-672.3290642,1391.016662
2227.745651,-672.3290649,1391.025209
2225.507895,-672.3290676,1391.034314
2223.270137,-672.3290726,1391.043966
2221.032378,-672.3290796,1391.054158
2218.794621,-672.3290884,1391.064883
2216.556868,-672.3290987,1391.076136
2214.319119,-672.3291101,1391.087917
2212.081373,-672.3291219,1391.100229
2209.84363,-672.3291339,1391.113078
2207.605889,-672.329147,1391.126463
2205.368151,-672.3291621,1391.140383
2203.130417,-672.3291797,1391.154838
2200.892685,-672.3292001,1391.169826
2198.654958,-672.3292236,1391.185347
2196.417234,-672.3292498,1391.201401
2194.179514,-672.3292785,1391.217987
2191.941798,-672.3293092,1391.235105
2189.704087,-672.3293413,1391.252754
2187.466379,-672.329374,1391.270932
2185.228676,-672.3294065,1391.289638
2182.990978,-672.3294377,1391.308871
2180.753284,-672.3294669,1391.328627
2178.515594,-672.3294928,1391.348905
2176.27791,-672.3295146,1391.3697
2174.04023,-672.3295313,1391.39101
2171.802554,-672.3295419,1391.41283
2169.564884,-672.3295456,1391.435156
2167.32722,-672.3295417,1391.457984
2165.08956,-672.3295296,1391.481309
2162.851906,-672.3295089,1391.505126
2160.614252,-672.3294792,1391.529431
2158.376573,-672.3294405,1391.554219
2156.138896,-672.3293929,1391.579485
2153.90128,-672.3293369,1391.605225
2151.663701,-672.3292732,1391.631436
2149.42609,-672.3292025,1391.658115
2147.188461,-672.3291262,1391.685259
2144.950762,-672.3290458,1391.712869
2142.71303,-672.3289632,1391.740943
2140.475683,-672.3288849,1391.769478
2138.238066,-672.3289041,1391.7985
2136.000476,-672.3290789,1391.828005
2133.76291,-672.3293169,1391.857967
2131.525321,-672.3294645,1391.888358
2129.287756,-672.3293787,1391.919157
2127.050192,-672.3290057,1391.950338
2124.812635,-672.3286187,1391.981878
2122.575082,-672.329136,1392.013871
2120.337536,-672.3301852,1392.046355
2118.099995,-672.3292496,1392.079155
2115.862058,-672.3225102,1392.111907
2113.624967,-672.307032,1392.144233
2111.387543,-672.2818542,1392.175983
2109.150268,-672.2471046,1392.207163
2106.913136,-672.2028521,1392.237842
2104.676204,-672.1491726,1392.268042
2102.439511,-672.0861179,1392.297772
2100.203096,-672.013701,1392.327042
2097.966997,-671.9319103,1392.355859
2095.731256,-671.8407213,1392.384228
2093.495913,-671.7401058,1392.412155
2091.261011,-671.6300395,1392.439644
2089.02659,-671.5105068,1392.466701
2086.792691,-671.3815033,1392.493329
2084.559353,-671.2430359,1392.519533
2082.326616,-671.0951201,1392.545317
2080.094519,-670.9377757,1392.570681
2077.863101,-670.7710194,1392.595629
2075.632402,-670.5948557,1392.620159
2073.402447,-670.4092751,1392.644271
2071.173324,-670.2142834,1392.667968
2068.945035,-670.0098813,1392.691253
2066.717586,-669.7960691,1392.714132
2064.491246,-669.5728731,1392.736605
2062.265549,-669.3402452,1392.75868
