t,F,F
0.626953125,129.70404,103.76324
0.62890625,129.70404,103.76324
0.630859375,129.70404,103.76324
0.6328125,129.70404,103.76324
0.634765625,129.70404,103.76324
0.63671875,129.70404,103.76324
0.638671875,129.70404,103.76324
0.640625,129.70404,103.76324
0.642578125,129.70404,103.76324
0.64453125,129.70404,103.76324
0.646484375,129.70404,103.76324
0.6484375,129.70404,103.76324
0.650390625,129.70404,103.76324
0.65234375,128.17812,103.76324
0.654296875,128.17812,103.76324
0.65625,128.17812,103.76324
0.658203125,128.17812,103.76324
0.66015625,128.17812,102.2373
0.662109375,128.17812,102.2373
0.6640625,128.17812,102.2373
0.666015625,128.17812,102.2373
0.66796875,128.17812,102.2373
0.669921875,128.17812,102.2373
0.671875,128.17812,102.2373
0.673828125,128.17812,102.2373
0.67578125,128.17812,102.2373
0.677734375,128.17812,102.2373
0.6796875,126.65218,102.2373
0.681640625,126.65218,102.2373
0.68359375,126.65218,102.2373
0.685546875,126.65218,102.2373
0.6875,126.65218,102.2373
0.689453125,126.65218,102.2373
0.69140625,125.12625,102.2373
0.693359375,125.12625,102.2373
0.6953125,125.12625,102.2373
0.697265625,125.12625,102.2373
0.69921875,123.60033,102.2373
0.701171875,122.07439,102.2373
0.703125,122.07439,102.2373
0.705078125,122.07439,103.76324
0.70703125,122.07439,105.28916
0.708984375,122.07439,105.28916
0.7109375,120.54846,105.28916
0.712890625,120.54846,106.81509
0.71484375,120.54846,108.34103
0.716796875,120.54846,108.34103
0.71875,119.02254,109.86695
0.720703125,119.02254,109.86695
0.72265625,119.02254,111.39288
0.724609375,117.4966,111.39288
0.7265625,117.4966,111.39288
0.728515625,115.97067,112.91882
0.73046875,114.44474,112.91882
0.732421875,114.44474,114.44474
0.734375,112.91882,114.44474
0.736328125,112.91882,115.97067
0.73828125,112.91882,115.97067
0.740234375,111.39288,115.97067
0.7421875,109.86695,115.97067
0.744140625,109.86695,115.97067
0.74609375,109.86695,115.97067
0.748046875,109.86695,115.97067
0.75,109.86695,115.97067
0.751953125,109.86695,115.97067
0.75390625,109.86695,115.97067
0.755859375,108.34103,115.97067
0.7578125,108.34103,115.97067
0.759765625,106.81509,115.97067
0.76171875,106.81509,115.97067
0.763671875,105.28916,115.97067
0.765625,105.28916,115.97067
0.767578125,105.28916,115.97067
0.76953125,105.28916,115.97067
0.771484375,105.28916,115.97067
0.7734375,105.28916,115.97067
0.775390625,103.76324,115.97067
0.77734375,102.2373,115.97067
0.779296875,100.71137,115.97067
0.78125,99.18544,115.97067
0.783203125,99.18544,115.97067
0.78515625,99.18544,115.97067
0.787109375,97.659515,115.97067
0.7890625,97.659515,115.97067
0.791015625,96.133583,115.97067
0.79296875,96.133583,115.97067
0.794921875,96.133583,115.97067
0.796875,96.133583,114.44474
0.798828125,94.607651,111.39288
0.80078125,93.081726,109.86695
0.802734375,93.081726,109.86695
0.8046875,91.555794,108.34103
0.806640625,91.555794,106.81509
0.80859375,91.555794,105.28916
0.810546875,90.029861,103.76324
0.8125,90.029861,103.76324
0.814453125,90.029861,100.71137
0.81640625,88.503929,100.71137
0.818359375,86.978004,99.18544
0.8203125,86.978004,97.659515
0.822265625,86.978004,96.133583
0.82421875,86.978004,94.607651
0.826171875,85.452072,93.081726
0.828125,83.92614,91.555794
0.830078125,82.400215,88.503929
0.83203125,82.400215,86.978004
0.833984375,80.874283,86.978004
0.8359375,80.874283,85.452072
0.837890625,77.822426,83.92614
0.83984375,77.822426,82.400215
0.841796875,76.296494,79.348351
0.84375,74.770561,77.822426
0.845703125,74.770561,76.296494
0.84765625,71.718704,71.718704
0.849609375,71.718704,70.192772
0.8515625,70.192772,68.66684
0.853515625,70.192772,68.66684
0.85546875,68.66684,67.140915
0.857421875,68.66684,65.614983
0.859375,67.140915,64.08905
0.861328125,65.614983,62.563122
0.86328125,64.08905,61.037193
0.865234375,64.08905,59.511261
0.8671875,62.563122,57.985332
0.869140625,61.037193,57.985332
0.87109375,59.511261,54.933472
0.873046875,54.933472,53.407543
0.875,53.407543,53.407543
0.876953125,53.407543,51.881611
0.87890625,51.881611,50.355682
0.880859375,50.355682,50.355682
0.8828125,48.82975,48.82975
0.884765625,47.303822,47.303822
0.88671875,44.251961,45.777893
0.888671875,42.726032,44.251961
0.890625,38.148243,42.726032
0.892578125,36.622311,41.2001
0.89453125,36.622311,39.674171
0.896484375,35.096382,36.622311
0.8984375,33.57045,35.096382
0.900390625,32.044521,33.57045
0.90234375,30.518591,32.044521
0.904296875,30.518591,30.518591
0.90625,28.992661,30.518591
0.908203125,25.940802,28.992661
0.91015625,24.414871,25.940802
0.912109375,22.888941,24.414871
0.9140625,21.36301,22.888941
0.916015625,19.83708,21.36301
0.91796875,19.83708,19.83708
0.919921875,18.311152,18.311152
0.921875,16.785221,18.311152
0.923828125,15.259291,16.785221
0.92578125,13.73336,15.259291
0.927734375,13.73336,15.259291
0.9296875,12.207431,13.73336
0.931640625,10.6815,12.207431
0.93359375,10.6815,12.207431
0.935546875,10.6815,12.207431
0.9375,10.6815,12.207431
0.939453125,10.6815,10.6815
0.94140625,10.6815,9.15557
0.943359375,9.15557,7.6296406
0.9453125,9.15557,7.6296406
0.947265625,7.6296406,7.6296406
0.94921875,7.6296406,7.6296406
0.951171875,7.6296406,6.1037102
0.953125,7.6296406,6.1037102
0.955078125,7.6296406,6.1037102
0.95703125,7.6296406,6.1037102
0.958984375,7.6296406,6.1037102
0.9609375,7.6296406,4.5777802
0.962890625,7.6296406,4.5777802
0.96484375,7.6296406,4.5777802
0.966796875,7.6296406,4.5777802
0.96875,7.6296406,4.5777802
0.970703125,7.6296406,4.5777802
0.97265625,6.1037102,4.5777802
0.974609375,6.1037102,4.5777802
0.9765625,6.1037102,4.5777802
0.978515625,6.1037102,4.5777802
0.98046875,6.1037102,4.5777802
0.982421875,4.5777802,4.5777802
0.984375,4.5777802,4.5777802
0.986328125,4.5777802,4.5777802
0.98828125,4.5777802,4.5777802
0.990234375,4.5777802,3.0518503
0.9921875,4.5777802,1.5259202
0.994140625,4.5777802,1.5259202
0.99609375,4.5777802,1.5259202
0.998046875,4.5777802,1.5259202
1,4.5777802,1.5259202
1.001953125,4.5777802,1.5259202
1.00390625,4.5777802,1.5259202
1.005859375,4.5777802,1.5259202
1.0078125,4.5777802,1.5259202
1.009765625,4.5777802,1.5259202
1.01171875,4.5777802,1.5259202
1.013671875,4.5777802,1.5259202
1.015625,4.5777802,1.5259202
1.017578125,4.5777802,1.5259202
1.01953125,4.5777802,1.5259202
1.021484375,4.5777802,1.5259202
1.0234375,4.5777802,1.5259202
1.025390625,4.5777802,1.5259202
1.02734375,4.5777802,1.5259202
1.029296875,4.5777802,1.5259202
1.03125,4.5777802,1.5259202
1.033203125,4.5777802,1.5259202
1.03515625,4.5777802,1.5259202
1.037109375,4.5777802,1.5259202
1.0390625,4.5777802,1.5259202
1.041015625,4.5777802,1.5259202
1.04296875,4.5777802,1.5259202
1.044921875,4.5777802,1.5259202
1.046875,4.5777802,1.5259202
1.048828125,4.5777802,1.5259202
1.05078125,4.5777802,1.5259202
1.052734375,4.5777802,1.5259202
1.0546875,4.5777802,1.5259202
1.056640625,4.5777802,1.5259202
1.05859375,4.5777802,1.5259202
1.060546875,4.5777802,1.5259202
1.0625,4.5777802,1.5259202
1.064453125,4.5777802,1.5259202
1.06640625,4.5777802,1.5259202
1.068359375,4.5777802,1.5259202
1.0703125,4.5777802,1.5259202
1.072265625,4.5777802,1.5259202
1.07421875,4.5777802,1.5259202
1.076171875,4.5777802,1.5259202
1.078125,4.5777802,1.5259202
1.080078125,4.5777802,1.5259202
1.08203125,4.5777802,1.5259202
1.083984375,4.5777802,1.5259202
1.0859375,4.5777802,1.5259202
1.087890625,4.5777802,1.5259202
1.08984375,4.5777802,1.5259202
1.091796875,4.5777802,1.5259202
1.09375,4.5777802,1.5259202
1.095703125,4.5777802,1.5259202
1.09765625,4.5777802,1.5259202
1.099609375,4.5777802,1.5259202
1.1015625,4.5777802,1.5259202
1.103515625,4.5777802,1.5259202
1.10546875,4.5777802,1.5259202
1.107421875,4.5777802,1.5259202
1.109375,4.5777802,1.5259202
1.111328125,4.5777802,1.5259202
1.11328125,4.5777802,1.5259202
1.115234375,4.5777802,1.5259202
1.1171875,4.5777802,1.5259202
1.119140625,4.5777802,1.5259202
1.12109375,3.0518503,1.5259202
1.123046875,3.0518503,1.5259202
1.125,3.0518503,1.5259202
1.126953125,3.0518503,1.5259202
1.12890625,3.0518503,1.5259202
1.130859375,3.0518503,1.5259202
1.1328125,1.5259202,1.5259202
1.134765625,1.5259202,1.5259202
1.13671875,1.5259202,1.5259202
1.138671875,1.5259202,1.5259202
1.140625,1.5259202,1.5259202
1.142578125,1.5259202,1.5259202
1.14453125,1.5259202,1.5259202
1.146484375,1.5259202,1.5259202
1.1484375,1.5259202,1.5259202
1.150390625,1.5259202,1.5259202
1.15234375,1.5259202,1.5259202
1.154296875,1.5259202,1.5259202
1.15625,1.5259202,1.5259202
1.158203125,1.5259202,1.5259202
1.16015625,1.5259202,1.5259202
1.162109375,1.5259202,1.5259202
1.1640625,1.5259202,1.5259202
1.166015625,1.5259202,1.5259202
1.16796875,1.5259202,1.5259202
1.169921875,1.5259202,1.5259202
1.171875,1.5259202,1.5259202
1.173828125,1.5259202,1.5259202
