X,Y,Z
3158.379746,-809.8192799,979.4943008
3156.095246,-809.888399,979.4544248
3153.810731,-809.9572917,979.4145485
3151.526201,-810.0259592,979.3746719
3149.241674,-810.0944019,979.3347954
3146.95714,-810.1626212,979.2949188
3144.672601,-810.2306182,979.2550421
3142.388045,-810.2983943,979.215165
3140.103461,-810.3659509,979.1752875
3137.818957,-810.4332859,979.1354114
3135.534396,-810.5004043,979.0955343
3133.249808,-810.5673064,979.0556567
3130.965201,-810.6339931,979.0157788
3128.680761,-810.7004599,978.9759039
3126.396221,-810.7667158,978.9360271
3124.111653,-810.8327597,978.8961499
3121.826882,-810.8985978,978.8562691
3119.542331,-810.9642188,978.8163922
3117.257711,-811.0296322,978.7765141
3114.973054,-811.0948382,978.7366353
3112.688452,-811.1598351,978.6967575
3110.403834,-811.2246262,978.6568794
3108.119211,-811.289212,978.6170012
3105.834574,-811.3535939,978.5771228
3103.549937,-811.4177726,978.5372443
3101.265303,-811.4817491,978.497366
3098.980663,-811.5455247,978.4574875
3096.696018,-811.6091003,978.4176089
3094.411327,-811.6724781,978.3777296
3092.126659,-811.7356574,978.3378506
3089.842002,-811.7986395,978.2979718
3087.557361,-811.8614252,978.2580933
3085.272677,-811.9240173,978.2182141
3082.987726,-811.9864228,978.1783302
3080.703015,-812.048629,978.1384505
3078.418622,-812.1106348,978.0985763
3076.133927,-812.1724582,978.0586969
3073.849227,-812.2340921,978.0188173
3071.564519,-812.2955375,977.9789377
3069.279797,-812.3567957,977.9390578
3066.994577,-812.4178807,977.8991692
3064.709812,-812.478768,977.8592885
3062.425056,-812.5394705,977.819408
3060.140306,-812.5999895,977.7795276
3057.855553,-812.6603261,977.7396472
3055.570791,-812.7204816,977.6997666
3053.286013,-812.7804572,977.6598857
3051.001212,-812.8402542,977.6200044
3048.716405,-812.899873,977.580123
3046.431604,-812.9593146,977.5402417
3044.14681,-813.0185799,977.5003606
3041.862016,-813.0776702,977.4604794
3039.577216,-813.1365867,977.4205981
3037.292403,-813.1953306,977.3807167
3035.007578,-813.253903,977.340835
3032.722757,-813.3123046,977.3009533
3030.437937,-813.3705365,977.2610717
3028.153189,-813.4285981,977.2211914
3025.868331,-813.4864951,977.1813091
3023.58344,-813.5442266,977.1414262
3021.2986,-813.6017918,977.1015443
3019.013752,-813.659193,977.0616622
3016.728905,-813.7164314,977.0217801
3014.444056,-813.7735082,976.981898
3012.159201,-813.8304245,976.9420158
3009.874334,-813.8871819,976.9021333
3007.589459,-813.9437813,976.8622508
3005.304591,-814.0002236,976.8223683
3003.019727,-814.0565101,976.782486
3000.734859,-814.1126422,976.7426035
2998.449983,-814.1686214,976.7027209
2996.165095,-814.2244489,976.6628381
2993.880192,-814.2801262,976.6229551
2991.595263,-814.3356548,976.5830716
2989.310402,-814.3910337,976.5431893
2987.025513,-814.4462667,976.5033065
2984.74062,-814.5013545,976.4634236
2982.456164,-814.5562879,976.4235483
2980.17119,-814.6110914,976.3836641
2977.886217,-814.6657537,976.3437798
2975.601225,-814.7202769,976.3038952
2973.316236,-814.7746619,976.2640106
2971.031243,-814.8289103,976.224126
2968.746196,-814.8830249,976.1842405
2966.461272,-814.9370031,976.144357
2964.175957,-814.9901392,976.1044726
2961.890498,-815.0014456,976.0645798
2959.605658,-814.9470687,976.0246979
