t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd1,yd1,zd1,xd2,yd2,zd2,xd3,yd3,zd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
0.28400000000000014,2988.0652251856973,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.529323227005733e-14,1.1468790210580692e-13,7.347011038688692e-14,-1.4918020341512863e-14,-1.1594801089337723e-29,-8.221165259282204e-14,-1.1299027099514509e-13,-5.717674103093321e-29,4.016366517135937,14.142135623730946,7.129563910340729e-14
0.29400000000000015,2988.165225185697,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.592437864855226e-14,1.1863321480371036e-13,6.543167236833012e-14,-1.9742618707698965e-14,-1.2611616362648197e-29,-6.436579073075864e-14,-1.1319521156229611e-13,-5.389636347333009e-29,4.157787873373118,14.142135623730942,3.420397672501233e-14
0.30400000000000016,2988.265225185697,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.044658930610542e-14,1.3065661739941615e-13,6.083878766673807e-14,-1.532575650157627e-14,-1.3868900086146234e-29,-7.01368326754056e-14,-1.2886511548129225e-13,-4.9722180050362185e-29,4.299209229610299,14.142135623730942,7.51072100179129e-14
0.31400000000000017,2988.365225185697,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.722874597466664e-14,1.2256230166905459e-13,6.162803183319463e-14,-1.4045827170870993e-14,-1.5231543725222723e-29,-6.441592889703585e-14,-1.1907352083589768e-13,-4.5746158706379965e-29,4.4406305858474795,14.142135623730942,1.7551083122640804e-13
0.3240000000000002,2988.465225185697,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.398533180562783e-14,1.146080256930874e-13,5.993489510628328e-14,-1.345357765169973e-14,-1.677073650781329e-29,-5.979627641057335e-14,-1.2246282846833575e-13,-4.3663076499576644e-29,4.582051942084661,14.142135623730946,1.3869525222030083e-13
0.3340000000000002,2988.565225185697,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.771966216657836e-14,1.1596777272856813e-13,6.049615076407565e-14,-1.7562342137670924e-14,-1.7762355568766575e-29,-5.349448217460132e-14,-1.237982834144146e-13,-4.1373596459873425e-29,4.723473298321841,14.142135623730944,5.888587249748676e-14
0.3440000000000002,2988.6652251856967,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.355770723724146e-14,1.1345026408871838e-13,6.506945841918249e-14,-1.577625355104729e-14,-1.9397430440464345e-29,-5.716828927846256e-14,-1.1837701395595896e-13,-3.919618063507201e-29,4.864894654559023,14.142135623730942,1.5743304912228817e-13
0.3540000000000002,2988.7652251856966,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.811086633819881e-14,1.0694540167218015e-13,7.16556563481085e-14,-1.5744929038408915e-14,-2.0799475736586258e-29,-5.5896073902545336e-14,-1.0634422635156278e-13,-3.805810702929679e-29,5.006316010796203,14.142135623730944,9.558308718489574e-14
0.3640000000000002,2988.8652251856965,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.54067417965851e-14,1.0849365806612226e-13,7.953336693569603e-14,-1.4152916856648676e-14,-2.2565917547434103e-29,-6.677753621724648e-14,-1.1642009158763782e-13,-3.930074167946202e-29,5.147737367033384,14.142135623730942,1.1495056553247089e-13
0.3740000000000002,2988.9652251856965,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-9.414558015297896e-14,1.0906809786322486e-13,7.669191896089546e-14,-2.1855882354780408e-14,-2.2871363378082637e-29,-5.2723573791958846e-14,-1.2403141937933133e-13,-3.700883468030774e-29,5.289158723270565,14.142135623730942,1.000477173175084e-13
0.38400000000000023,2989.0652251856964,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.992183433027303e-14,9.582193451540032e-14,6.801272784535248e-14,-2.243204524062506e-14,-2.421656052156737e-29,-3.134849773660204e-14,-1.1438644715622619e-13,-4.37953865884721e-29,5.430580079507746,14.142135623730942,5.027851946221382e-14
0.39400000000000024,2989.1652251856963,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.783584399995986e-14,9.238059825117619e-14,7.35538785480234e-14,-1.8287452381235238e-14,-2.561813440613489e-29,-3.581738899266358e-14,-1.1070944029681943e-13,-4.3761552425909436e-29,5.572001435744927,14.142135623730944,8.035869910981844e-14
0.40400000000000025,2989.265225185696,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.259713005505314e-14,8.523187904271281e-14,7.380307846583064e-14,-1.4585607604100435e-14,-2.7406554155676014e-29,-3.929180136920634e-14,-9.278773041545291e-14,-4.652251541985174e-29,5.713422791982108,14.142135623730944,9.235639984572802e-14
0.41400000000000026,2989.365225185696,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.046099553039281e-14,9.914256219482437e-14,7.840764106539261e-14,-1.7047392007912e-14,-2.8992637376429033e-29,-4.5505879814643016e-14,-1.08794338326981e-13,-4.793089205402509e-29,5.854844148219288,14.142135623730942,6.762775507874565e-14
0.42400000000000027,2989.465225185696,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-9.216377926870482e-14,1.0889747004241624e-13,9.320989731909671e-14,-1.8648837984549123e-14,-3.0574541318242777e-29,-6.614160733289871e-14,-1.2553231821943497e-13,-4.748432486496553e-29,5.99626550445647,14.142135623730942,2.0675698413171994e-13
0.4340000000000003,2989.565225185696,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-8.211015723943006e-14,1.0095615161322721e-13,9.7823948024718e-14,-1.6466069496077836e-14,-3.216846823203065e-29,-6.418686868767432e-14,-1.1072099134105058e-13,-4.5851594671743005e-29,6.13768686069365,14.142135623730942,4.988520616209556e-14
0.4440000000000003,2989.665225185696,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.400131865971438e-14,1.0079224326243434e-13,8.640057429379697e-14,-1.6748127784637455e-14,-3.3952390410716426e-29,-5.171123581677168e-14,-1.0310010962303083e-13,-4.5270901330613293e-29,6.279108216930831,14.142135623730942,2.2844531721026398e-14
0.4540000000000003,2989.7652251856957,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-7.440735778831081e-14,1.0449747166098156e-13,8.892305204523234e-14,-1.929933146142611e-14,-3.557143098163766e-29,-5.845559539213558e-14,-9.611472548883011e-14,-4.6720824431454526e-29,6.420529573168012,14.142135623730942,6.316492639196032e-14
0.4640000000000003,2989.8652251856956,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10.0,-6.408461632103783e-14,1.0735035491011677e-13,8.979973089908552e-14,-2.3576360701589606e-14,-3.7345435834566927e-29,-5.785194002116324e-14,-7.836985293919525e-14,-4.683157128762281e-29,6.561950929405193,14.142135623730939,1.247388043036646e-13
