t,x1,y1,z1,x2,y2,z2,x3,y3,z3,x1d,y1d,z1d,x2d,y2d,z2d,x3d,y3d,z3d
0.534,2990.56522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-7.67306731864801e-14,1.2664390285087e-13,-2.11050919886507e-13,-4.98789748856045e-14,-6.75957875924358e-29,3.25269480470362e-13,-1.36284891547513e-13,-1.83499667059272e-29
0.544,2990.66522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-8.97388834364438e-14,1.28966377309872e-13,-2.09447852916399e-13,-5.48063840229154e-14,-7.08376857620941e-29,3.32076287405438e-13,-1.52229133961696e-13,-1.92676647859989e-29
0.554,2990.76522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.02937121029877e-13,1.40872509196451e-13,-2.043728630269e-13,-6.10958152934655e-14,-7.34343241102388e-29,3.35943664548699e-13,-1.63916177817389e-13,-1.63013629943306e-29
0.564,2990.86522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.03214897268308e-13,1.38876235653826e-13,-1.97482281527959e-13,-6.03450176441399e-14,-7.6653823724722e-29,3.29604515031403e-13,-1.60225785604217e-13,-1.69123674978834e-29
0.574,2990.96522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.02996084798489e-13,1.36688984475358e-13,-1.86091749076238e-13,-5.89426427169057e-14,-8.03390218449705e-29,3.18204671590631e-13,-1.59617809299897e-13,-1.87844808955423e-29
0.584,2991.06522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.05612814837304e-13,1.46401740783926e-13,-1.78413961859882e-13,-6.26204663535644e-14,-8.3469225144754e-29,3.11238104688002e-13,-1.6549188653525e-13,-1.92425476736326e-29
0.594,2991.16522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.0608038599067e-13,1.5321359586467e-13,-1.64482867805513e-13,-6.98320346547462e-14,-8.60184789003051e-29,3.02604163411934e-13,-1.66788581223127e-13,-1.87391748065324e-29
0.604,2991.26522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.12999081028843e-13,1.68978651381882e-13,-1.7237282820904e-13,-7.64030361988857e-14,-8.85163424995076e-29,3.17211010361794e-13,-1.72526433660692e-13,-1.70054139455271e-29
0.614,2991.36522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.17834867756216e-13,1.75134478111559e-13,-1.71589079276358e-13,-7.25856147951631e-14,-9.1872936161018e-29,3.05940261704494e-13,-1.86556009647509e-13,-1.41440593237357e-29
0.624,2991.46522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.25071602857356e-13,1.74004251755661e-13,-1.82180669426475e-13,-7.69722109431385e-14,-9.42716893568071e-29,3.2838770057244e-13,-1.91115356583264e-13,-1.00100536390302e-29
0.634,2991.56522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.19445091090157e-13,1.66517342425797e-13,-1.80799925308418e-13,-8.06814557151306e-14,-9.71905571981585e-29,3.38929188267154e-13,-1.75711664021246e-13,-6.30788151669054e-30
0.644,2991.66522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.26454245150556e-13,1.75474719188824e-13,-1.64968376092333e-13,-8.38324487257202e-14,-9.99645036128554e-29,3.2047349995789e-13,-1.83919084172074e-13,-5.10346907103936e-30
0.654,2991.76522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.22170913347919e-13,1.62475247170077e-13,-1.6787133144844e-13,-7.57956104306717e-14,-1.02283942739772e-28,3.19224534514747e-13,-1.81714391598708e-13,-2.3468463366016e-30
0.664,2991.86522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.19642947924676e-13,1.61748550519266e-13,-1.65827690737808e-13,-7.73688861041194e-14,-1.04820936291684e-28,3.22407949706583e-13,-1.81500149364097e-13,5.4435541608416e-31
0.674,2991.96522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.1764250544255e-13,1.59400267259124e-13,-1.5421228325934e-13,-7.4506217164789e-14,-1.074758213394e-28,3.10309024310371e-13,-1.80452967517418e-13,4.72838041353414e-30
0.684,2992.06522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.13300179795419e-13,1.53158838762324e-13,-1.62674882097211e-13,-7.09537960686937e-14,-1.09888865144845e-28,3.18070572402412e-13,-1.70387568469943e-13,8.25243712185334e-30
0.694000000000001,2992.16522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.18292671238933e-13,1.50046615410576e-13,-1.52425544331681e-13,-7.22119015325048e-14,-1.12617911374062e-28,3.12813198164257e-13,-1.71733387248874e-13,9.15779900080177e-30
0.704000000000001,2992.26522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.16015113264419e-13,1.45426508116632e-13,-1.55560551539041e-13,-7.35956699197984e-14,-1.1500545115132e-28,3.22483536828951e-13,-1.66908748629248e-13,1.04936566336562e-29
0.714000000000001,2992.36522518569,-1000.9736541954,634.2367244142,3603.1181651241,-851.633617828,999.1776716127,2480.3079789101,-831.6969825016,-16.6079173541,10,-1.10404577067561e-13,1.31192875932708e-13,-1.40723153779497e-13,-6.75468632258679e-14,-1.17515283897123e-28,3.12709287286252e-13,-1.54768561243699e-13,8.35790284449058e-30
