t,y,v
6.583317181321880485e-01,3.615539486057989249e-01,1.101473570915479261e+00
6.683317181321880573e-01,3.720781843149537083e-01,1.003373570915479185e+00
6.783317181321880662e-01,3.816214200241084820e-01,9.052735709154791088e-01
6.883317181321880751e-01,3.901836557332633015e-01,8.071735709154790328e-01
6.983317181321880840e-01,3.977648914424181115e-01,7.090735709154789568e-01
7.083317181321880929e-01,4.043651271515729118e-01,6.109735709154788807e-01
7.183317181321881018e-01,4.099843628607277024e-01,5.128735709154788047e-01
7.283317181321881106e-01,4.146225985698824834e-01,4.147735709154787287e-01
7.383317181321881195e-01,4.182798342790372548e-01,3.166735709154786527e-01
7.483317181321881284e-01,4.209560699881920165e-01,2.185735709154785766e-01
7.583317181321881373e-01,4.226513056973468241e-01,1.204735709154784867e-01
7.683317181321881462e-01,4.233655414065016220e-01,2.237357091547839683e-02
7.783317181321881550e-01,4.230987771156564103e-01,-7.572642908452169308e-02
7.883317181321881639e-01,4.218510128248111890e-01,-1.738264290845217830e-01
7.983317181321881728e-01,4.196222485339659580e-01,-2.719264290845218590e-01
8.083317181321881817e-01,4.164124842431207174e-01,-3.700264290845219350e-01
8.183317181321881906e-01,4.122217199522754671e-01,-4.681264290845220111e-01
8.283317181321881995e-01,4.070499556614302628e-01,-5.662264290845221426e-01
8.383317181321882083e-01,4.008971913705850487e-01,-6.643264290845222186e-01
8.483317181321882172e-01,3.937634270797398250e-01,-7.624264290845222947e-01
8.583317181321882261e-01,3.856486627888945917e-01,-8.605264290845223707e-01
8.683317181321882350e-01,3.765528984980493488e-01,-9.586264290845224467e-01
8.783317181321882439e-01,3.664761342072040962e-01,-1.056726429084522634e+00
8.883317181321882527e-01,3.554183699163588339e-01,-1.154826429084522710e+00
8.983317181321882616e-01,3.433796056255136175e-01,-1.252926429084522786e+00
9.083317181321882705e-01,3.303598413346683915e-01,-1.351026429084522862e+00
9.183317181321882794e-01,3.163590770438231559e-01,-1.449126429084522938e+00
9.283317181321882883e-01,3.013773127529779106e-01,-1.547226429084523014e+00
9.383317181321882972e-01,2.854145484621326556e-01,-1.645326429084523090e+00
9.483317181321883060e-01,2.684707841712873910e-01,-1.743426429084523166e+00
9.583317181321883149e-01,2.505460198804421168e-01,-1.841526429084523242e+00
9.683317181321883238e-01,2.316402555895968607e-01,-1.939626429084523318e+00
9.783317181321883327e-01,2.117534912987516227e-01,-2.037726429084523616e+00
9.883317181321883416e-01,1.908857270079063750e-01,-2.135826429084523692e+00
9.983317181321883504e-01,1.690369627170611178e-01,-2.233926429084523768e+00
1.008331718132188248e+00,1.462071984262161284e-01,-2.332026429084522956e+00
1.018331718132188257e+00,1.223964341353708796e-01,-2.430126429084523032e+00
1.028331718132188266e+00,9.760466984452562111e-02,-2.528226429084523108e+00
1.038331718132188275e+00,7.183190555368036689e-02,-2.626326429084523184e+00
1.048331718132188284e+00,4.507814126283511691e-02,-2.724426429084523260e+00
1.058331718132188293e+00,1.734337697198986075e-02,-2.822526429084523336e+00
1.060898233966013349e+00,1.006700894806326560e-02,-2.847703949414347235e+00
1.063464749799838405e+00,2.726022419553725783e-03,-2.872881469744171135e+00
1.064070453217610623e+00,9.841087646035803511e-04,-2.878823420272516476e+00
1.064315714830556203e+00,2.777488374276934581e-04,-2.881229436695512458e+00
1.064388709061165672e+00,6.740957687322154598e-05,-2.881945510097791541e+00
1.064401918634839239e+00,2.933944944701508497e-05,-2.882075096015529247e+00
1.064415128208512806e+00,-8.730965723101163890e-06,-2.881679761361191527e+00
1.064427420014418368e+00,-4.414622425663598028e-05,-2.880737709560524884e+00
1.064550338073473990e+00,-3.976611515214609595e-04,-2.871294377205838355e+00
1.065039581364036980e+00,-1.793012980640825565e-03,-2.832364412516749308e+00
1.065987785662131815e+00,-4.438886490519248010e-03,-2.745368908365024119e+00
1.067420306067757174e+00,-8.253950657289992748e-03,-2.571368129530550828e+00
1.069124353409895312e+00,-1.240301765862410893e-02,-2.282774218319221227e+00
1.070876121713768114e+00,-1.607159097731202663e-02,-1.889892625858102360e+00
1.072600228824447388e+00,-1.893464479568923373e-02,-1.419018080322703268e+00
1.074256516556141072e+00,-2.086895640226667237e-02,-9.096074624649098661e-01
1.075810027838572491e+00,-2.189250018163570871e-02,-4.062040629683624227e-01
1.077027177072394259e+00,-2.214609489498164593e-02,-1.175575282672375321e-02
1.078244326306216028e+00,-2.192671310196125586e-02,3.689288880366772272e-01
1.079457452051678645e+00,-2.126129325025618091e-02,7.229860988379014364e-01
1.080875548023974675e+00,-1.996827806375587114e-02,1.091400760261519665e+00
1.082450753496466467e+00,-1.797238128985851127e-02,1.429234047803592311e+00
1.084153184619574661e+00,-1.529510133453078000e-02,1.698992273665986152e+00
1.085943801597802905e+00,-1.208053433286105857e-02,1.873050685547847261e+00
1.087787488579061490e+00,-8.546815867720906554e-03,1.943074563063431626e+00
1.089674020123267972e+00,-4.890149889403339924e-03,1.919635477561401959e+00
1.091611302245604875e+00,-1.253748459349605937e-03,1.825746250739635590e+00
1.092203953588053889e+00,-1.825108719510659151e-04,1.789012765423227513e+00
1.092284672827174230e+00,-3.830924237976373616e-05,1.783904729345125117e+00
1.092297073122879159e+00,-1.619316310851219641e-05,1.783119780117324860e+00
1.092309473418584087e+00,5.913959406776306504e-06,1.782639741273850609e+00
1.092321160371402922e+00,2.674691600725462385e-05,1.782525092266697753e+00
1.092438029899591267e+00,2.350027876474851819e-04,1.781378602195170080e+00
1.093606725181474726e+00,2.310192067594527606e-03,1.769913701479893353e+00
1.103606725181474735e+00,1.951882908239347195e-02,1.671813701479893277e+00
1.113606725181474744e+00,3.574646609719241835e-02,1.573713701479893201e+00
1.123606725181474753e+00,5.099310311199136553e-02,1.475613701479893125e+00
1.133606725181474761e+00,6.525874012679031000e-02,1.377513701479893049e+00
1.143606725181474770e+00,7.854337714158925177e-02,1.279413701479892973e+00
1.153606725181474779e+00,9.084701415638819777e-02,1.181313701479892897e+00
1.163606725181474788e+00,1.021696511711871341e-01,1.083213701479892821e+00
1.173606725181474797e+00,1.125112881859860747e-01,9.851137014798927449e-01
1.183606725181474806e+00,1.218719252007850057e-01,8.870137014798926689e-01
1.193606725181474815e+00,1.302515622155839270e-01,7.889137014798925929e-01
1.203606725181474824e+00,1.376501992303828525e-01,6.908137014798925168e-01
1.213606725181474832e+00,1.440678362451817685e-01,5.927137014798924408e-01
1.223606725181474841e+00,1.495044732599807025e-01,4.946137014798923648e-01
1.233606725181474850e+00,1.539601102747796268e-01,3.965137014798922888e-01
1.243606725181474859e+00,1.574347472895785416e-01,2.984137014798922127e-01
1.253606725181474868e+00,1.599283843043774744e-01,2.003137014798921367e-01
1.263606725181474877e+00,1.614410213191763976e-01,1.022137014798920468e-01
