t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.5850000000000004,2788.4467034267,-1004.5878170251596,634.4157223992395,3407.504619623316,-859.8366653158348,999.2329287602192,2284.7419905747856,-831.8689667936516,-16.58822365285902
0.5900000000000004,2786.763426390361,-1004.6187745896615,634.4170421222226,3405.8330445665706,-859.908907344772,999.2333360023921,2283.0694184493414,-831.8690894928076,-16.588078465817542
0.5950000000000004,2785.08014846055,-1004.6496599031931,634.418358915121,3404.161444768198,-859.9809854449638,999.2337423370238,2281.396822692293,-831.8692119202814,-16.587933601178296
0.6000000000000004,2783.396869643522,-1004.6804730916754,634.419672778006,3402.4898201661986,-860.0528998347892,999.2341477641517,2279.724203333635,-831.8693340760739,-16.587789058933556
0.6050000000000004,2781.713589943242,-1004.7112142360214,634.4209837052294,3400.818170812137,-860.1246506763312,999.234552282022,2278.051560381769,-831.869455959659,-16.587644839700776
0.6100000000000004,2780.030309363181,-1004.7418834484835,634.422291700836,3399.1464967717243,-860.1962382200805,999.2349558918755,2276.3788938638186,-831.869577571411,-16.58750094303082
0.6150000000000004,2778.347027908377,-1004.7724808072892,634.4235967677004,3397.4747981581572,-860.2676626620585,999.2353585945805,2274.7062037970304,-831.8696989115971,-16.587357368601445
0.6200000000000004,2776.6637455843397,-1004.8030064147339,634.4248989087723,3395.8030749185614,-860.3389241800514,999.235760391061,2273.033490206578,-831.8698199804865,-16.58721411608778
0.6250000000000004,2774.9804623982864,-1004.8334604305045,634.426198130015,3394.1313269406196,-860.4100230523868,999.2361612831872,2271.3607531398507,-831.8699407786262,-16.587071184836176
0.6300000000000004,2773.2971783480116,-1004.8638428766257,634.4274944307256,3392.4595545162965,-860.4809594281594,999.2365612706849,2269.687992586371,-831.8700613059568,-16.58692857491128
0.6350000000000005,2771.6138934384485,-1004.8941538469485,634.4287878152561,3390.7877576143005,-860.5517334791036,999.236960354907,2268.0152085697373,-831.8701815628787,-16.58678628583319
0.6400000000000005,2769.930607676801,-1004.924393490546,634.4300782873697,3389.115936155213,-860.622345471342,999.237358537038,2266.342401132087,-831.8703015497354,-16.586644317189215
0.6450000000000005,2768.2473210676408,-1004.9545619112704,634.4313658414886,3387.444090217212,-860.6927956266973,999.2377558153432,2264.6695702899337,-831.8704212660076,-16.586502669588707
0.6500000000000005,2766.564033613879,-1004.9846591692229,634.4326504784215,3385.7722198671077,-860.763084081635,999.2381521900611,2262.9967160512338,-831.8705407117696,-16.586361342937916
0.6550000000000005,2764.8807453187574,-1005.0146853605737,634.4339322039469,3384.100325163215,-860.8332110533331,999.2385476629688,2261.3238384402416,-831.8706598875572,-16.586220336597144
0.6600000000000005,2763.197456189814,-1005.0446406554348,634.4352110221585,3382.4284060701616,-860.9031768711684,999.2389422353467,2259.650937506408,-831.8707787937449,-16.586079650116375
0.6650000000000005,2761.5141662311457,-1005.0745250672979,634.4364869223732,3380.7564627715255,-860.9729816024279,999.2393359038568,2257.978013233407,-831.8708974293436,-16.585939284661745
0.6700000000000005,2759.830875445542,-1005.1043387110134,634.4377599167344,3379.0844951622,-861.0426254467126,999.2397286722768,2256.30506565725,-831.8710157954748,-16.585799238899124
0.6750000000000005,2758.147583837907,-1005.1340817448961,634.4390300133567,3377.412503226613,-861.1121087248086,999.240120543125,2254.632094825341,-831.8711338928887,-16.58565951193533
0.6800000000000005,2756.464291412095,-1005.1637542666152,634.4402972045198,3375.740487075885,-861.181431656406,999.2405115139983,2252.959100749867,-831.8712517208679,-16.585520104614197
0.6850000000000005,2754.780998174244,-1005.1933563593038,634.4415614839982,3374.0684466985253,-861.250594381148,999.2409015829797,2251.286083442424,-831.8713692788299,-16.58538101761917
0.6900000000000005,2753.0977041265637,-1005.2228880859714,634.4428228614759,3372.3963821856446,-861.3195970674767,999.2412907530453,2249.6130429204195,-831.8714865676748,-16.585242249879375
0.6950000000000005,2751.4144092729325,-1005.2523495460578,634.4440813426027,3370.724293612838,-861.38843994671,999.2416790259302,2247.9399792100676,-831.8716035879268,-16.585103800768763
0.7000000000000005,2749.731113619007,-1005.281740878867,634.4453369219643,3369.0521809649567,-861.4571232770247,999.2420663999723,2246.2668923405745,-831.8717203390785,-16.584965670882582
