Solver,autodiff,linsolve,abstol,reltol,initial_state,tspan,ΔE,Avg Time (s),All Times
ROS2PR_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",2.3386600239705402e-8,0.028654399999999997,"[0.0275625, 0.0264201, 0.0273567, 0.0430638, 0.0277957, 0.0284101, 0.0258835, 0.0269121, 0.0267888, 0.0263507]"
KenCarp58_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.0003478936389442744,0.0017693800000000003,"[0.0018066, 0.0017316, 0.0016983, 0.0019567, 0.0018659, 0.0017288, 0.0018112, 0.0017274, 0.0016891, 0.0016782]"
Rodas42_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",1.4011508132627526e-6,0.0020669300000000002,"[0.0020619, 0.0021052, 0.002103, 0.0019881, 0.0019893, 0.0020029, 0.0020868, 0.0019485, 0.0021374, 0.0022462]"
ABDF2_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",3.116481962442408e-5,0.010094609999999999,"[0.0082391, 0.00815, 0.0081119, 0.0080889, 0.0083516, 0.0082332, 0.0270885, 0.0082271, 0.0081443, 0.0083115]"
GRK4T_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",3.785152827839866e-7,0.0017150699999999997,"[0.0018201, 0.0017352, 0.0016127, 0.0017526, 0.0016818, 0.0016118, 0.0016919, 0.0016977, 0.0018169, 0.00173]"
ESDIRK54I8L2SA_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",1.9983090916220192e-5,0.0044779,"[0.0043467, 0.0042955, 0.0045839, 0.0043357, 0.0046412, 0.0044125, 0.0046761, 0.0044188, 0.0043821, 0.0046865]"
KenCarp5_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",0.004060419049816494,0.00142517,"[0.0014438, 0.0013583, 0.0013801, 0.0013596, 0.0015288, 0.0014698, 0.0014675, 0.0015088, 0.0013854, 0.0013496]"
Rodas4_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",4.3255177895051844e-7,0.00179998,"[0.0018678, 0.0017484, 0.0017156, 0.0018236, 0.0018924, 0.0018452, 0.0017936, 0.0017518, 0.0018399, 0.0017215]"
ROS3PRL_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",8.810032829756342e-5,0.00417761,"[0.0043363, 0.0040658, 0.0041347, 0.0041439, 0.0043741, 0.0040408, 0.0041341, 0.0039042, 0.0044347, 0.0042075]"
RadauIIA3_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",7.771166835035537e-8,0.03588866,"[0.0356425, 0.0324424, 0.0331857, 0.0386303, 0.0510584, 0.0329671, 0.033985, 0.0323935, 0.0327396, 0.0358421]"
ROS3PR_autodiff_true__tol_1e6_short_timespan_state1,"(true, Val{:forward})",nothing,1.0e-6,1.0e-6,"[0.0, 0.1, 0.5, 0.0]","(0.0, 100.0)",4.6896669904455957e-5,0.00685776,"[0.0068311, 0.0065376, 0.0067248, 0.0067173, 0.0069081, 0.006975, 0.0067709, 0.0071642, 0.0070857, 0.0068629]"
