t,x1,y1,z1,x2,y2,z2,x3,y3,z3,xd3,PosConstrNorm,VelConstrNorm,AccConstrNorm
1.3,4.743474323623553e-19,0.1,0.12000000000000015,0.1297913241428568,0.012580830517926083,0.07413470794359715,0.25958264828571376,-5.641245087785508e-17,2.8352429071047893e-16,0.04482879559463346,4.232886150194266e-7,1.4421664681480915e-7,4.110763771957465e-15
1.4000000000000001,5.113580338803787e-19,0.1,0.12000000000000018,0.13198594556828874,0.011365183705026066,0.07036024626865811,0.2639718911365777,-7.333428685024104e-17,3.3157576606061637e-16,0.042892919047003104,4.2927684667904396e-7,1.4419992313846246e-7,5.973017526279612e-15
1.5000000000000002,5.740574215627308e-19,0.1,0.12000000000000022,0.13407426641630352,0.0105209897782451,0.06643359667755859,0.2681485328326072,-8.593815600248642e-17,3.76243968397336e-16,0.04057613126910807,4.3570001457268847e-7,1.4418023661435447e-7,6.835188637179099e-15
1.6000000000000003,6.367568092450829e-19,0.1,0.12000000000000026,0.13603716360361828,0.01007165738823855,0.06238971192634142,0.2720743272072368,-1.1089411115377386e-16,4.33952638291914e-16,0.0378757425091538,4.425434573234783e-7,1.4415881083315308e-7,1.1115425943645573e-14
1.7000000000000004,6.99456196927435e-19,0.1,0.12000000000000031,0.13785545089266002,0.010037730117934792,0.0582678671911016,0.27571090178532026,-1.457768885023179e-16,4.858481544594254e-16,0.03479211032937133,4.497928224472703e-7,1.4413711991478923e-7,5.9163448854549725e-15
1.8000000000000005,7.621555846097871e-19,0.1,0.12000000000000036,0.1395100604144923,0.010436005244992374,0.05411155085066813,0.27902012082898486,-1.857662012172522e-16,5.497434862508101e-16,0.031329805369660894,4.5743415082485853e-7,1.4411689681259768e-7,5.303654207432415e-15
1.9000000000000006,8.248549722921392e-19,0.1,0.1200000000000004,0.14098228193987902,0.011278607515628645,0.04996816651597105,0.2819645638797584,-2.1569595551886034e-16,6.151063034779408e-16,0.027498745902392617,4.654537616487669e-7,1.4410012447152e-7,1.2805196777342523e-14
2.0000000000000004,8.906022431967403e-19,0.1,0.12000000000000044,0.14225405680389425,0.01257205975705809,0.04588852232127785,0.2845081136077889,-2.37884995390479e-16,6.893114303056418e-16,0.023315238035385114,4.7383791545930967e-7,1.440890066841989e-7,7.752590231595694e-15
2.1000000000000005,1.0162936221138349e-18,0.1,0.12000000000000048,0.14330831999306667,0.014316401787304193,0.041926093023540646,0.2866166399861338,-2.398020986527705e-16,7.474764819379059e-16,0.01880284947744392,4.825722692629461e-7,1.440859099905402e-7,8.665788254216399e-15
2.2000000000000006,1.1419850010309295e-18,0.1,0.12000000000000052,0.14412938017571333,0.016504416490622214,0.03813605378256351,0.28825876035142717,-2.2677587413274926e-16,8.083632031135785e-16,0.01399304086323653,4.916411826597321e-7,1.4409327385199855e-7,9.846853578590497e-15
2.3000000000000007,1.267676379948024e-18,0.1,0.12000000000000058,0.1447033237074973,0.0191210255698556,0.034574101104917626,0.28940664741499517,-2.577275818752963e-16,8.576954098145921e-16,0.008925482098190291,5.010269829099348e-7,1.441134866393512e-7,3.483920794997385e-14
2.400000000000001,1.3933677588651187e-18,0.1,0.12000000000000062,0.14501842529140116,0.02214291592411224,0.03129509515439848,0.290036850582803,-2.337440404301324e-16,9.115701960978955e-16,0.003647993756330084,5.107093351190184e-7,1.441487340915752e-7,1.550038384724698e-14
2.500000000000001,1.5190591377822133e-18,0.1,0.12000000000000069,0.1450655454890368,0.0255384498004089,0.028351576634489378,0.2901310909780744,-2.1388478635244418e-16,9.791221220850046e-16,-0.0017839242239805165,5.206648771331027e-7,1.4420083456522518e-7,2.6280624485855775e-14
2.600000000000001,1.644750516699308e-18,0.1,0.12000000000000074,0.14483849412989278,0.02926789752148194,0.02579222841490578,0.28967698825978644,-1.9005960498419113e-16,1.0328497443026654e-15,-0.007307983576903684,5.308672578747705e-7,1.4427108077666365e-7,2.558788567348543e-14
